time,sensor,x,y,z,drone_x,drone_y,drone_z
0.0,range_fwd,0.7999999999999998,0.0,0.1,0.0,0.0,0.1
0.0,range_back,-2.9499999999999997,0.0,0.1,0.0,0.0,0.1
0.0,range_left,0.0,0.8749999999999998,0.1,0.0,0.0,0.1
0.0,range_right,0.0,-0.8749999999999998,0.1,0.0,0.0,0.1
0.002,range_fwd,0.7999999999999998,0.0,0.10000630592175386,0.0,0.0,0.10000630592175386
0.002,range_back,-2.9499999999999997,0.0,0.10000630592175386,0.0,0.0,0.10000630592175386
0.002,range_left,0.0,0.8749999999999998,0.10000630592175386,0.0,0.0,0.10000630592175386
0.002,range_right,0.0,-0.8749999999999998,0.10000630592175386,0.0,0.0,0.10000630592175386
0.004,range_fwd,0.7999999999999998,0.0,0.10002522365303583,0.0,0.0,0.10002522365303583
0.004,range_back,-2.9499999999999997,0.0,0.10002522365303583,0.0,0.0,0.10002522365303583
0.004,range_left,0.0,0.8749999999999998,0.10002522365303583,0.0,0.0,0.10002522365303583
0.004,range_right,0.0,-0.8749999999999998,0.10002522365303583,0.0,0.0,0.10002522365303583
0.006,range_fwd,0.7999999999999998,0.0,0.1000567531039716,0.0,0.0,0.1000567531039716
0.006,range_back,-2.9499999999999997,0.0,0.1000567531039716,0.0,0.0,0.1000567531039716
0.006,range_left,0.0,0.8749999999999998,0.1000567531039716,0.0,0.0,0.1000567531039716
0.006,range_right,0.0,-0.8749999999999998,0.1000567531039716,0.0,0.0,0.1000567531039716
0.008,range_fwd,0.7999999999999998,0.0,0.10010089413281488,0.0,0.0,0.10010089413281488
0.008,range_back,-2.9499999999999997,0.0,0.10010089413281488,0.0,0.0,0.10010089413281488
0.008,range_left,0.0,0.8749999999999998,0.10010089413281488,0.0,0.0,0.10010089413281488
0.008,range_right,0.0,-0.8749999999999998,0.10010089413281488,0.0,0.0,0.10010089413281488
0.01,range_fwd,0.7999999999999998,0.0,0.10015764654594977,0.0,0.0,0.10015764654594977
0.01,range_back,-2.9499999999999997,0.0,0.10015764654594977,0.0,0.0,0.10015764654594977
0.01,range_left,0.0,0.8749999999999998,0.10015764654594977,0.0,0.0,0.10015764654594977
0.01,range_right,0.0,-0.8749999999999998,0.10015764654594977,0.0,0.0,0.10015764654594977
0.012,range_fwd,0.7999999999999998,0.0,0.10022701009789393,0.0,0.0,0.10022701009789393
0.012,range_back,-2.9499999999999997,0.0,0.10022701009789393,0.0,0.0,0.10022701009789393
0.012,range_left,0.0,0.8749999999999998,0.10022701009789393,0.0,0.0,0.10022701009789393
0.012,range_right,0.0,-0.8749999999999998,0.10022701009789393,0.0,0.0,0.10022701009789393
0.014,range_fwd,0.7999999999999998,0.0,0.10030898449130261,0.0,0.0,0.10030898449130261
0.014,range_back,-2.9499999999999997,0.0,0.10030898449130261,0.0,0.0,0.10030898449130261
0.014,range_left,0.0,0.8749999999999998,0.10030898449130261,0.0,0.0,0.10030898449130261
0.014,range_right,0.0,-0.8749999999999998,0.10030898449130261,0.0,0.0,0.10030898449130261
0.016,range_fwd,0.7999999999999998,0.0,0.10040356937697356,0.0,0.0,0.10040356937697356
